person1_name,person1_dob,person1_tob,person1_pob,person1_moon_sign,person1_nakshatra,person2_name,person2_dob,person2_tob,person2_pob,person2_moon_sign,person2_nakshatra,varna_score,vashya_score,tara_score,yoni_score,graha_maitri_score,gana_score,bhakoot_score,nadi_score,total_score,compatible
About Chetan Sakariya/ Who is Chetan Sakariya ?,"August 12, 1998",12:00:00,Bhavnagar,Pisces,Purva Bhadrapada,Phil Jackson,"September 17, 1945",17:39:59,"112 W 43, 46 N 22",Capricorn,Uttara Ashadha,1,1,1,2,3,6,7,8,29,1
Yograj Singh,"March 25, 1958",12:00:00,Ludhiana,Taurus,Krittika,Daniele De Rossi,"July 24, 1983",12:00:00,Rome,Capricorn,Uttara Ashadha,1,2,3,3,5,0,0,0,14,0
About Alex Carey/ Who is Alex Carey ?,"August 27, 1991",12:00:00,loxton,Aquarius,Dhanishta,About Riley Meredith/ Who is Riley Meredith ?,"June 21, 1996",12:00:00,Hobart,Leo,Magha,0,0,1,2,0,6,7,8,24,1
Yograj Singh,"March 25, 1958",12:00:00,Ludhiana,Taurus,Krittika,Ignazio Abate,"November 12, 1986",12:00:00,"Sant''Agata de'' Goti, Italy",Pisces,Purva Bhadrapada,0,1,1,3,0,0,7,8,20,1
Neil Broom,"November 20, 1983",00:00:00,Christchurch,Aries,Ashwini,Parupalli Kashyap,"September 08, 1986",12:00:00,Hyderabad,Libra,Chitra,1,1,1,3,3,1,7,8,25,1
About Shahbaz Ahmed/ Who is Shahbaz Ahmed ?,"December 12, 1994",12:00:00,mewat,Pisces,Purva Bhadrapada,Mattia Perin,"November 10, 1992",12:00:00,Latina,Aries,Ashwini,1,1,1,3,5,5,0,0,16,0
Neil Broom,"November 20, 1983",00:00:00,Christchurch,Aries,Ashwini,Rahul Dravid,"January 11, 1973",10:58:00,Indore,Pisces,Purva Bhadrapada,0,1,1,2,5,6,0,0,15,0
About Tom Curran/ Who is Tom Curran ?,"March 12, 1995",12:00:00,Cape Town,Cancer,Punarvasu,Marco Parolo,"January 25, 1985",12:00:55,"Gallarate, Italy",Pisces,Purva Bhadrapada,1,2,3,2,4,6,0,0,18,1
About Finn Allen/ Who is Finn Allen ?,"April 22, 1999",12:00:00,Auckland,Gemini,Mrigashira,Heena Sidhu,"August 29, 1989",12:00:00,Ludhiana,Cancer,Punarvasu,0,1,1,2,1,6,0,8,19,1
About Utkarsh Singh/ Who is Utkarsh Singh ?,"May 7, 1998",12:00:00,Ranchi,Virgo,Uttara Phalguni,Marco Parolo,"January 25, 1985",12:00:55,"Gallarate, Italy",Pisces,Purva Bhadrapada,0,1,1,3,0,6,7,0,18,1
About Virat Singh/ Who is Virat Singh ?,"December 8, 1997",12:00:00,Jamshedpur,Pisces,Purva Bhadrapada,Claudio Marchisio,"January 19, 1986",12:00:00,Turin,Aries,Ashwini,1,1,1,3,5,5,0,0,16,0
About Finn Allen/ Who is Finn Allen ?,"April 22, 1999",12:00:00,Auckland,Gemini,Mrigashira,Lance Armstrong,"September 18, 1971",12:00:00,Plano,Leo,Magha,0,0,1,2,4,1,7,8,23,1
V V S Laxman,"November 01, 1974",10:26:23,Hyderabad,Aries,Ashwini,Michael Nobbs,"January 04, 1954",12:00:00,Australian Alps,Sagittarius,Mula,1,1,3,2,5,1,0,0,13,0
About Tom Curran/ Who is Tom Curran ?,"March 12, 1995",12:00:00,Cape Town,Cancer,Punarvasu,Shivendra Singh,"June 09, 1983",12:00:00,Gwalior,Aries,Ashwini,1,1,1,3,4,6,7,0,23,1
About Jhye Richardson/ Who is Jhye Richardson ?,"September 20, 1996",12:00:00,murdoch,Scorpio,Vishakha,Akanksha Singh,"July 30, 1990",12:00:00,Varanasi,Libra,Chitra,1,0,1,4,3,6,0,8,23,1
Mehtab Hossain,"October 13, 1982",12:00:00,Calcutta,Leo,Magha,Mattia Perin,"November 10, 1992",12:00:00,Latina,Aries,Ashwini,1,0,3,2,5,1,0,8,20,1
Ciro Immobile,"February 20, 1990",12:00:00,"Torre Annunziata, Italy",Sagittarius,Mula,Mattia Perin,"November 10, 1992",12:00:00,Latina,Aries,Ashwini,1,1,3,2,5,1,0,0,13,0
About Digvijay Deshmukh/ Who is Digvijay Deshmukh ?,"April 12, 1998",12:00:00,Ambajogai,Libra,Chitra,Robin Roberts,"September 30, 1926",11:44:59,"89 W 39, 39 N 47",Cancer,Punarvasu,0,1,1,2,0,1,7,8,20,1
About Kyle Jamieson/ Who is Kyle Jamieson ?,"December 30, 1994",12:00:00,Auckland,Scorpio,Vishakha,Parupalli Kashyap,"September 08, 1986",12:00:00,Hyderabad,Libra,Chitra,1,0,1,4,3,6,0,8,23,1
Lorenzo Insigne,"June 04, 1991",12:00:00,Naples,Aquarius,Dhanishta,Michael Nobbs,"January 04, 1954",12:00:00,Australian Alps,Sagittarius,Mula,0,2,1,3,3,6,7,8,30,1
